iter	Passed	Remaining
259	462	1315
260	463	1312
261	464	1308
262	465	1304
263	466	1301
264	468	1299
265	469	1296
266	470	1292
267	472	1289
268	473	1285
269	474	1282
270	475	1278
271	476	1275
272	477	1272
273	478	1268
274	479	1265
275	481	1261
276	482	1258
277	483	1256
278	485	1253
279	486	1250
280	487	1247
281	488	1243
282	489	1240
283	490	1236
284	491	1233
285	492	1230
286	493	1226
287	495	1224
288	496	1220
289	497	1218
290	498	1215
291	500	1214
292	502	1211
293	503	1208
294	504	1205
295	505	1202
296	506	1199
297	508	1197
298	509	1194
299	510	1191
300	511	1188
301	513	1186
302	515	1186
303	517	1183
304	518	1180
305	519	1178
306	520	1175
307	521	1172
308	523	1169
309	524	1166
310	525	1164
311	526	1161
312	528	1160
313	530	1158
314	531	1156
315	533	1154
316	534	1151
317	535	1148
318	536	1145
319	538	1143
320	539	1141
321	540	1138
322	541	1135
323	544	1136
324	546	1134
325	547	1131
326	548	1128
327	549	1126
328	550	1123
329	552	1120
330	553	1118
331	554	1115
332	555	1112
333	556	1110
334	559	1109
335	560	1108
336	562	1106
337	563	1103
338	564	1100
339	565	1098
340	567	1095
341	568	1093
342	569	1091
343	570	1088
344	573	1088
345	575	1087
346	576	1085
347	577	1082
348	578	1079
349	580	1077
350	581	1074
351	582	1072
352	583	1069
353	584	1066
354	585	1064
355	587	1062
356	589	1061
357	590	1059
358	591	1056
359	593	1054
360	594	1052
361	595	1049
362	597	1047
363	598	1045
364	599	1042
365	601	1041
366	603	1040
367	605	1039
368	606	1037
369	608	1035
370	609	1033
371	611	1032
372	612	1030
373	613	1027
374	615	1025
375	617	1024
376	620	1024
377	622	1023
378	623	1022
379	625	1020
380	626	1018
381	628	1016
382	629	1014
383	631	1012
384	633	1011
385	635	1010
386	636	1008
387	638	1006
388	639	1004
389	640	1002
390	642	1000
391	643	997
392	644	995
393	645	993
394	647	991
395	648	988
396	649	986
397	650	984
398	652	982
399	653	980
400	654	977
401	655	975
402	656	972
403	657	970
404	659	968
405	660	966
406	662	965
407	664	964
408	665	961
409	666	959
410	668	957
411	669	955
412	670	952
413	671	950
414	672	948
415	674	946
416	675	944
417	677	943
418	678	941
419	680	939
420	681	937
421	682	934
422	683	932
423	685	930
424	686	928
425	687	926
426	689	924
427	690	923
428	693	923
429	696	922
430	697	920
431	698	918
432	699	916
433	700	914
434	702	911
435	703	909
436	704	908
437	707	907
438	709	906
439	711	905
440	713	903
441	714	901
442	715	899
443	716	897
444	718	896
445	720	894
446	722	893
447	723	891
448	724	889
449	725	887
450	727	885
451	728	883
452	729	880
453	730	878
454	732	876
455	733	875
456	734	873
457	736	871
458	737	869
459	738	867
460	740	865
461	741	863
462	742	861
463	743	858
464	744	856
465	746	854
